歌单链接	歌单名字
https://music.163.com/playlist?id=900407972	最尬综艺《被子外面很危险》所有BGM
https://music.163.com/playlist?id=1981163239	继承者们
https://music.163.com/playlist?id=2187672844	Vol.1 致幻剂|带你进入迷幻之地
https://music.163.com/playlist?id=894354462	◎????Ⅱ青春時代2?BGM&OST
https://music.163.com/playlist?id=2472220018	「Kor」少女心是粉色光束的星辰魔法
https://music.163.com/playlist?id=2104343855	独立流行|谁还不是韩式小清新
https://music.163.com/playlist?id=2311603868	小清新韩文歌撩拨你的心
https://music.163.com/playlist?id=889498235	韩剧鬼怪，步步惊心丽，太阳的后裔
https://music.163.com/playlist?id=2287322748	韩流：二代女团洗脑神曲带你回韩流巅峰时期
https://music.163.com/playlist?id=2079234468	抖音安利的韩语歌
https://music.163.com/playlist?id=2459892395	【韩】内在美OST/BGM
https://music.163.com/playlist?id=2084407514	hyukoh吴赫
https://music.163.com/playlist?id=2044643804	"清新之风拂过, 令人满心欢喜"
https://music.163.com/playlist?id=127134359	待我长发及腰，少年你娶我可好？
https://music.163.com/playlist?id=2023536966	THE UNIT 任务 【BGM】
https://music.163.com/playlist?id=2020472481	『韩』【金钟铉】钟铉，So Goodbye
https://music.163.com/playlist?id=2092061322	宣美WARNING
https://music.163.com/playlist?id=2330822404	BLACKPINK
https://music.163.com/playlist?id=615404294	韩剧【原来是美男啊】所有歌曲
https://music.163.com/playlist?id=2282422514	性感马儿金泫雅
https://music.163.com/playlist?id=805255031	【孝利家民宿】李尚顺的歌单/OST/BGM
https://music.163.com/playlist?id=132042826	那些年错过的东方神起冷门良心作
https://music.163.com/playlist?id=945732109	韩剧:当你沉睡时 OST & BGM 持更
https://music.163.com/playlist?id=804563910	一听就会爱上的GOT7抒情歌曲
https://music.163.com/playlist?id=2012628890	愿将我一世的梦揉碎在东风里
https://music.163.com/playlist?id=2157929524	韩剧『我的大叔』OST(完结撒花)
https://music.163.com/playlist?id=2469941566	『韩语』 感性伴秋风渐起 随秋意渐浓
https://music.163.com/playlist?id=968406846	《今生是第一次》韩剧OST
https://music.163.com/playlist?id=815104432	【姐姐饭的狂欢】想和底迪谈恋爱喔:-O
https://music.163.com/playlist?id=421037225	韩剧【灰姑娘与四骑士】OST&BGM
https://music.163.com/playlist?id=969279993	今生是第一次 OST
https://music.163.com/playlist?id=990217854	【韩语】温柔且深情，这样的男生最惹人爱
https://music.163.com/playlist?id=46060042	少女时代抒情全记录。
https://music.163.com/playlist?id=111339065	性感小野马——金泫雅
https://music.163.com/playlist?id=49135488	学舞蹈的同学看过来
https://music.163.com/playlist?id=2219299487	LIONLIFE | 专属歌单精选?
https://music.163.com/playlist?id=2149186004	英韩混血 · 英文与韩文的完美契合
